key-flower,product-name,cultivar,thc-level,cbd-level,radiation,wholesaler,genetic,origin,lowest-offer
remexian 27/1 grg: grape galena,remexian 27/1 grg,grape galena,27.7,0.1,no,Remexian,Hybrid Indica-dominant,,9.39
avaay 12/8 can: cannatonic,avaay 12/8 can,cannatonic,12.2,7.6,no,avaay,Hybrid,Portugal,8.99
huala 22/1 ca alm: alien mints,huala 22/1 ca alm,alien mints,22.58,0.2,no,420 Pharma,Hybrid Indica-dominant,,6.25
peace naturals 31/1 sc: space cake,peace naturals 31/1 sc,space cake,31.6,0.1,no,Cansativa,Hybrid Sativa-dominant,Kanada,7.99
remexian 30/1 crn: garlic breath,remexian 30/1 crn,garlic breath,32.0,0.1,no,Remexian,Hybrid Indica-dominant,,9.95
420 evolution 27/1 ca mmi: miracle mints,420 evolution 27/1 ca mmi,miracle mints,25.98,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,9.95
420 sungrown 22/1 ca dog: chemdog,420 sungrown 22/1 ca dog,chemdog,,,,,,Kanada,6.95
420 evolution 25/1 ca pld: plum driver,420 evolution 25/1 ca pld,plum driver,23.95,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
remexian 30/1 bag: banana gas,remexian 30/1 bag,banana gas,29.5,0.1,no,Remexian,Hybrid,Kanada,0.0
avaay signature 28/1 pg: platinum garlic,avaay signature 28/1 pg,platinum garlic,27.1,1.0,no,avaay,Hybrid Indica-dominant,Kanada,0.0
zoiks 26/1 lk: og lime kush,zoiks 26/1 lk,og lime kush,23.9,0.1,no,avaay,Hybrid Sativa-dominant,,0.0
demecan core pulse 27:01: zativa,demecan core pulse 27:01,zativa,26.1,0.3,no,Demecan,Hybrid Sativa-dominant,,0.0
avaay signature 7/11 gco: green croc orange,avaay signature 7/11 gco,green croc orange,7.6,10.6,no,avaay,Hybrid,Kanada,0.0
bathera 28/1 fine cookies: fine cookies,bathera 28/1 fine cookies,fine cookies,28.0,0.1,non-irradiated,Bathera,Hybrid,Portugal,0.0
cannamedical hybrid light: headband,cannamedical hybrid light,headband,16.0,0.1,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
together pharma glueberry og: glueberry og,together pharma glueberry og,glueberry og,17.0,0.1,non-irradiated,Cantourage,Hybrid,Uganda,0.0
420 evolution 25/1 ca pch: peach chementine,420 evolution 25/1 ca pch,peach chementine,,,,,,,0.0
canymed bc 24/1: pollux green pump,canymed bc 24/1,pollux green pump,,,,,,,0.0
costa canna dynamics-fortissimo: liberty haze,costa canna dynamics-fortissimo,liberty haze,29.2,0.1,non-irradiated,Cantourage,Hybrid,Kanada,0.0
avaay 20/1 rg: royal gorilla,avaay 20/1 rg,royal gorilla,,,,,,Südafrika,0.0
cm 20/1 lly: legendary larry,cm 20/1 lly,legendary larry,19.1,1.0,no,Cannamedical,Hybrid Indica-dominant,Kanada,0.0
cannamedical hybrid forte nm: critical bilbo,cannamedical hybrid forte nm,critical bilbo,22.2,0.1,no,Cannamedical,Hybrid,Nordmazedonien,0.0
avaay 20/1 zkt: zkittlez,avaay 20/1 zkt,zkittlez,20.0,0.1,no,avaay,Hybrid Indica-dominant,Portugal,0.0
remexian 30/1 chk: chemical kush,remexian 30/1 chk,chemical kush,29.7,0.1,no,Remexian,Indica,Kanada,0.0
cannamedical sativa light: strawberry ice,cannamedical sativa light,strawberry ice,17.6,0.1,gamma,Cannamedical,Sativa,Kanada,8.49
420 natural 19/1 ca trp: tropicana cookies,420 natural 19/1 ca trp,tropicana cookies,17.9,0.2,no,420 Pharma,Hybrid Sativa-dominant,,0.0
22/1 ab cookies: apples & bananas,22/1 ab cookies,apples & bananas,20.4,0.1,no,Cansativa,Indica,,0.0
demecan craft fcf 31:01: first class funk,demecan craft fcf 31:01,first class funk,28.7,0.1,no,Demecan,Indica,,0.0
26/1 md cookies: medellin,26/1 md cookies,medellin,26.2,0.1,no,Cansativa,Indica,,0.0
pedanios 27/1 bly-ca: black jelly,pedanios 27/1 bly-ca,black jelly,28.4,0.1,keine Angaben,Aurora,Sativa,Kanada,0.0
remexian 27/1 snm: strawberry n minz,remexian 27/1 snm,strawberry n minz,27.4,0.1,no,Remexian,Sativa,,0.0
cannamedical indica forte ury: dawg bud fusion,cannamedical indica forte ury,dawg bud fusion,23.4,0.1,non-irradiated,Cannamedical,Indica,Uruguay,0.0
medizinal cannabisblüten typ 1 aurora: island sweet skunk,medizinal cannabisblüten typ 1 aurora,island sweet skunk,17.7,0.1,e-beam,BfArM,Sativa,,0.0
420 natural 20/1 ca gg: gorilla glue,420 natural 20/1 ca gg,gorilla glue,18.25,0.1,no,420 Pharma,Hybrid Indica-dominant,,0.0
420 sungrown 27/1 ca lly: legendary larry,420 sungrown 27/1 ca lly,legendary larry,26.09,0.4,no,420 Pharma,Hybrid Indica-dominant,,0.0
demecan core jm7 28:01: jelly mints,demecan core jm7 28:01,jelly mints,27.1,0.3,no,Demecan,Hybrid Indica-dominant,,8.99
huala 25/1 ca alm: alien mints,huala 25/1 ca alm,alien mints,24.32,0.4,no,420 Pharma,Hybrid Indica-dominant,Kanada,6.5
420 sungrown 22/1 ca zrp: zour apple,420 sungrown 22/1 ca zrp,zour apple,22.52,0.4,no,420 Pharma,Hybrid Indica-dominant,,8.95
demecan mc lean drop: banana marker,demecan mc lean drop,banana marker,24.2,0.3,no,Demecan,Hybrid Indica-dominant,,0.0
aurora 24/1 pnk-ca: pink kush,aurora 24/1 pnk-ca,pink kush,23.8,0.1,e-beam,Aurora,Indica,Kanada,0.0
pharmarolly primo: meringue,pharmarolly primo,meringue,21.0,0.1,non-irradiated,Cantourage,Hybrid,Nordmazedonien,0.0
medicann oz 26/1: oreoz,medicann oz 26/1,oreoz,26.0,0.1,non-irradiated,MediCann Health,Indica,Tschechien,0.0
enua 22/1 wck ca: la kush cake,enua 22/1 wck ca,la kush cake,22.0,0.1,non-irradiated,enua,Hybrid,Kanada,0.0
remexian 22/1 huw: humble warrior,remexian 22/1 huw,humble warrior,22.0,0.1,non-irradiated,remexian pharma,Hybrid,Portugal,0.0
420 evolution 30/1 ca gmo: gmo,420 evolution 30/1 ca gmo,gmo,29.0,1.0,no,420 Pharma,Hybrid Indica-dominant,Kanada,0.0
remexian 14/1: white widow,remexian 14/1,white widow,14.8,0.1,e-beam,Remexian,Hybrid Sativa-dominant,Dänemark,0.0
nimbus zrp 21/1: zour apple,nimbus zrp 21/1,zour apple,21.0,0.1,non-irradiated,Nimbus Health,Hybrid,Kanada,0.0
blkmkt cm thc 22 blk mlk: cereal milk,blkmkt cm thc 22 blk mlk,cereal milk,22.0,0.1,non-irradiated,IMC,Hybrid,Kanada,0.0
cannamedical indica light bc: purple punch,cannamedical indica light bc,purple punch,16.0,1.0,non-irradiated,Cannamedical,Indica,Südafrika,0.0
tilray thc25 spotlight porto: pink kush,tilray thc25 spotlight porto,pink kush,25.0,0.1,irradiated,Tilray,Hybrid,Portugal,0.0
demecan 20:01 florestura: super haze x amnesia,demecan 20:01 florestura,super haze x amnesia,20.0,0.1,e-beam,Demecan,Sativa,,0.0
cannabis flos 18/1 uy ku.: gorilla glue,cannabis flos 18/1 uy ku.,gorilla glue,17.9,0.1,no,Canify,Hybrid,,0.0
canopy krypton 25: chemdawg 91 x captain krypt og,canopy krypton 25,chemdawg 91 x captain krypt og,25.0,1.0,irradiated,Canopy Medical,Indica,Kanada,0.0
cannamedical sativa vita: amnesia haze,cannamedical sativa vita,amnesia haze,13.5,0.1,non-irradiated,Cannamedical,Sativa,Kanada,0.0
demecan mc regular drop: sherbet mints,demecan mc regular drop,sherbet mints,25.0,0.1,non-irradiated,Demecan,Hybrid,Kanada,0.0
27/1 amici cp: cherry pie,27/1 amici cp,cherry pie,27.0,0.1,non-irradiated,cansativa,Indica,Portugal,0.0
tilray thc22 spotlight porto: galaxy walker og,tilray thc22 spotlight porto,galaxy walker og,22.0,0.1,irradiated,Tilray,Hybrid,Portugal,0.0
cm 31/1 spc: space cake,cm 31/1 spc,space cake,31.0,0.1,non-irradiated,Cannamedical,Hybrid,Kanada,0.0
demecan 24:01 tricolo: la kush cake,demecan 24:01 tricolo,la kush cake,24.0,0.1,non-irradiated,Demecan,Indica,Kanada,0.0
